Dataset: IRELAND
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[47/100] Train loss: 0.146889, Val composite loss: 0.144799, Val MAE: 2.788399, Val RMSE: 3.733029
Selected epoch: 36
Test MAE: 2.743024
Test RMSE: 3.680077

**------ Seed 3/15 ------**
[1/100] Train loss: 0.186872, Val composite loss: 0.159022, Val MAE: 3.079402, Val RMSE: 4.116655
[2/100] Train loss: 0.165034, Val composite loss: 0.153363, Val MAE: 2.968274, Val RMSE: 3.958386
[3/100] Train loss: 0.161687, Val composite loss: 0.152449, Val MAE: 2.944615, Val RMSE: 3.923804
[4/100] Train loss: 0.159483, Val composite loss: 0.151215, Val MAE: 2.924764, Val RMSE: 3.879508
[5/100] Train loss: 0.158023, Val composite loss: 0.151106, Val MAE: 2.923367, Val RMSE: 3.890166
[6/100] Train loss: 0.157162, Val composite loss: 0.151714, Val MAE: 2.930711, Val RMSE: 3.910757
[7/100] Train loss: 0.156425, Val composite loss: 0.149507, Val MAE: 2.893155, Val RMSE: 3.846568
[8/100] Train loss: 0.156067, Val composite loss: 0.150865, Val MAE: 2.916217, Val RMSE: 3.888814
[9/100] Train loss: 0.155615, Val composite loss: 0.148734, Val MAE: 2.872661, Val RMSE: 3.833817
[10/100] Train loss: 0.155379, Val composite loss: 0.148364, Val MAE: 2.860927, Val RMSE: 3.838156
[11/100] Train loss: 0.155063, Val composite loss: 0.148143, Val MAE: 2.868284, Val RMSE: 3.815544
[12/100] Train loss: 0.154666, Val composite loss: 0.148275, Val MAE: 2.860811, Val RMSE: 3.830363
[13/100] Train loss: 0.154442, Val composite loss: 0.148034, Val MAE: 2.854864, Val RMSE: 3.828978
[14/100] Train loss: 0.154187, Val composite loss: 0.148055, Val MAE: 2.870521, Val RMSE: 3.823382
[15/100] Train loss: 0.153924, Val composite loss: 0.147305, Val MAE: 2.841141, Val RMSE: 3.806877
[16/100] Train loss: 0.153654, Val composite loss: 0.148387, Val MAE: 2.856731, Val RMSE: 3.843958
[17/100] Train loss: 0.153281, Val composite loss: 0.147513, Val MAE: 2.855836, Val RMSE: 3.798704
[18/100] Train loss: 0.153205, Val composite loss: 0.148048, Val MAE: 2.863632, Val RMSE: 3.815294
[19/100] Train loss: 0.152810, Val composite loss: 0.145972, Val MAE: 2.816131, Val RMSE: 3.757172
[20/100] Train loss: 0.152588, Val composite loss: 0.147226, Val MAE: 2.837575, Val RMSE: 3.795308
[21/100] Train loss: 0.152621, Val composite loss: 0.147041, Val MAE: 2.844720, Val RMSE: 3.775432
[22/100] Train loss: 0.152098, Val composite loss: 0.146148, Val MAE: 2.822422, Val RMSE: 3.751658
[23/100] Train loss: 0.152036, Val composite loss: 0.147441, Val MAE: 2.860858, Val RMSE: 3.790894
[24/100] Train loss: 0.152042, Val composite loss: 0.146651, Val MAE: 2.830387, Val RMSE: 3.772408
[25/100] Train loss: 0.150991, Val composite loss: 0.145982, Val MAE: 2.818009, Val RMSE: 3.759187
[26/100] Train loss: 0.150674, Val composite loss: 0.145339, Val MAE: 2.799681, Val RMSE: 3.745913
[27/100] Train loss: 0.150758, Val composite loss: 0.145213, Val MAE: 2.795899, Val RMSE: 3.734628
[28/100] Train loss: 0.150633, Val composite loss: 0.146513, Val MAE: 2.826746, Val RMSE: 3.785898
[29/100] Train loss: 0.150540, Val composite loss: 0.146056, Val MAE: 2.809819, Val RMSE: 3.765851
[30/100] Train loss: 0.150468, Val composite loss: 0.145110, Val MAE: 2.795439, Val RMSE: 3.736860
