Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[16/100] Train loss: 0.137489, Val composite loss: 0.143468, Val MAE: 1.211622, Val RMSE: 1.669545
[17/100] Train loss: 0.137528, Val composite loss: 0.143800, Val MAE: 1.225709, Val RMSE: 1.666684
[18/100] Train loss: 0.137239, Val composite loss: 0.143439, Val MAE: 1.221622, Val RMSE: 1.662107
[19/100] Train loss: 0.137088, Val composite loss: 0.142830, Val MAE: 1.208082, Val RMSE: 1.662748
[20/100] Train loss: 0.136919, Val composite loss: 0.143121, Val MAE: 1.209208, Val RMSE: 1.664997
[21/100] Train loss: 0.136690, Val composite loss: 0.144089, Val MAE: 1.219742, Val RMSE: 1.678808
[22/100] Train loss: 0.136663, Val composite loss: 0.143400, Val MAE: 1.226736, Val RMSE: 1.655259
[23/100] Train loss: 0.136676, Val composite loss: 0.143224, Val MAE: 1.211276, Val RMSE: 1.667692
[24/100] Train loss: 0.136308, Val composite loss: 0.143029, Val MAE: 1.215460, Val RMSE: 1.657548
[25/100] Train loss: 0.135909, Val composite loss: 0.142729, Val MAE: 1.212690, Val RMSE: 1.655516
[26/100] Train loss: 0.135850, Val composite loss: 0.142420, Val MAE: 1.207961, Val RMSE: 1.654585
[27/100] Train loss: 0.135759, Val composite loss: 0.142921, Val MAE: 1.204044, Val RMSE: 1.669258
[28/100] Train loss: 0.135833, Val composite loss: 0.142694, Val MAE: 1.206714, Val RMSE: 1.660716
[29/100] Train loss: 0.135552, Val composite loss: 0.142674, Val MAE: 1.206104, Val RMSE: 1.662200
[30/100] Train loss: 0.135482, Val composite loss: 0.142184, Val MAE: 1.201847, Val RMSE: 1.655022
[31/100] Train loss: 0.135312, Val composite loss: 0.142561, Val MAE: 1.202099, Val RMSE: 1.660096
[32/100] Train loss: 0.135402, Val composite loss: 0.142351, Val MAE: 1.208491, Val RMSE: 1.651625
[33/100] Train loss: 0.135315, Val composite loss: 0.142525, Val MAE: 1.215025, Val RMSE: 1.650404
[34/100] Train loss: 0.135292, Val composite loss: 0.141807, Val MAE: 1.202678, Val RMSE: 1.648462
[35/100] Train loss: 0.135231, Val composite loss: 0.142253, Val MAE: 1.204923, Val RMSE: 1.655192
[36/100] Train loss: 0.135027, Val composite loss: 0.143053, Val MAE: 1.204393, Val RMSE: 1.673247
[37/100] Train loss: 0.134963, Val composite loss: 0.142544, Val MAE: 1.204664, Val RMSE: 1.667814
[38/100] Train loss: 0.134818, Val composite loss: 0.141884, Val MAE: 1.199742, Val RMSE: 1.650351
[39/100] Train loss: 0.134812, Val composite loss: 0.141788, Val MAE: 1.207108, Val RMSE: 1.642622
[40/100] Train loss: 0.134786, Val composite loss: 0.142333, Val MAE: 1.203003, Val RMSE: 1.658185
[41/100] Train loss: 0.134680, Val composite loss: 0.142126, Val MAE: 1.202673, Val RMSE: 1.652124
[42/100] Train loss: 0.134562, Val composite loss: 0.142506, Val MAE: 1.201152, Val RMSE: 1.661764
[43/100] Train loss: 0.134392, Val composite loss: 0.143246, Val MAE: 1.203568, Val RMSE: 1.675330
[44/100] Train loss: 0.134373, Val composite loss: 0.142678, Val MAE: 1.203727, Val RMSE: 1.662977
[45/100] Train loss: 0.134026, Val composite loss: 0.142213, Val MAE: 1.203332, Val RMSE: 1.655255
[46/100] Train loss: 0.133824, Val composite loss: 0.141967, Val MAE: 1.205343, Val RMSE: 1.647733
[47/100] Train loss: 0.133734, Val composite loss: 0.142463, Val MAE: 1.201112, Val RMSE: 1.660764
[48/100] Train loss: 0.133826, Val composite loss: 0.142281, Val MAE: 1.200161, Val RMSE: 1.663888
[49/100] Train loss: 0.133620, Val composite loss: 0.141901, Val MAE: 1.199154, Val RMSE: 1.650647
[50/100] Train loss: 0.133233, Val composite loss: 0.142542, Val MAE: 1.199434, Val RMSE: 1.662163
Selected epoch: 39
Test MAE: 1.262726
Test RMSE: 1.708039

**------ Seed 4/15 ------**
[1/100] Train loss: 0.168703, Val composite loss: 0.156625, Val MAE: 1.340008, Val RMSE: 1.811773
[2/100] Train loss: 0.149178, Val composite loss: 0.152400, Val MAE: 1.280142, Val RMSE: 1.777996
[3/100] Train loss: 0.144610, Val composite loss: 0.148200, Val MAE: 1.257230, Val RMSE: 1.718667
[4/100] Train loss: 0.142999, Val composite loss: 0.150640, Val MAE: 1.261322, Val RMSE: 1.763017
[5/100] Train loss: 0.141886, Val composite loss: 0.147305, Val MAE: 1.248660, Val RMSE: 1.712294
[6/100] Train loss: 0.140936, Val composite loss: 0.146336, Val MAE: 1.239095, Val RMSE: 1.709601
[7/100] Train loss: 0.140249, Val composite loss: 0.145806, Val MAE: 1.235364, Val RMSE: 1.689351
[8/100] Train loss: 0.139633, Val composite loss: 0.146082, Val MAE: 1.229807, Val RMSE: 1.704604
[9/100] Train loss: 0.138955, Val composite loss: 0.145443, Val MAE: 1.225715, Val RMSE: 1.697190
[10/100] Train loss: 0.138741, Val composite loss: 0.144452, Val MAE: 1.225005, Val RMSE: 1.675737
[11/100] Train loss: 0.138453, Val composite loss: 0.143862, Val MAE: 1.219427, Val RMSE: 1.668791
[12/100] Train loss: 0.138199, Val composite loss: 0.144774, Val MAE: 1.218379, Val RMSE: 1.683613
[13/100] Train loss: 0.137888, Val composite loss: 0.144222, Val MAE: 1.230699, Val RMSE: 1.665617
[14/100] Train loss: 0.137574, Val composite loss: 0.143885, Val MAE: 1.218022, Val RMSE: 1.668217
[15/100] Train loss: 0.137293, Val composite loss: 0.144274, Val MAE: 1.217781, Val RMSE: 1.678203
[16/100] Train loss: 0.137183, Val composite loss: 0.143625, Val MAE: 1.216217, Val RMSE: 1.668301
[17/100] Train loss: 0.136963, Val composite loss: 0.144060, Val MAE: 1.217553, Val RMSE: 1.671261
[18/100] Train loss: 0.136923, Val composite loss: 0.145124, Val MAE: 1.216841, Val RMSE: 1.697164
[19/100] Train loss: 0.136875, Val composite loss: 0.144918, Val MAE: 1.215845, Val RMSE: 1.694411
[20/100] Train loss: 0.136651, Val composite loss: 0.143734, Val MAE: 1.216300, Val RMSE: 1.667814
[21/100] Train loss: 0.136487, Val composite loss: 0.143707, Val MAE: 1.213839, Val RMSE: 1.672465
[22/100] Train loss: 0.135994, Val composite loss: 0.143570, Val MAE: 1.215883, Val RMSE: 1.667083
