Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[12/100] Train loss: 0.172241, Val composite loss: 0.164791, Val MAE: 2.954887, Val RMSE: 3.853617
[13/100] Train loss: 0.171881, Val composite loss: 0.162925, Val MAE: 2.889448, Val RMSE: 3.834488
[14/100] Train loss: 0.171162, Val composite loss: 0.162849, Val MAE: 2.897060, Val RMSE: 3.828439
[15/100] Train loss: 0.170987, Val composite loss: 0.162026, Val MAE: 2.872071, Val RMSE: 3.825633
[16/100] Train loss: 0.170942, Val composite loss: 0.162253, Val MAE: 2.877738, Val RMSE: 3.827438
[17/100] Train loss: 0.170668, Val composite loss: 0.164047, Val MAE: 2.929384, Val RMSE: 3.836706
[18/100] Train loss: 0.170042, Val composite loss: 0.163405, Val MAE: 2.913717, Val RMSE: 3.835610
[19/100] Train loss: 0.170342, Val composite loss: 0.162504, Val MAE: 2.893415, Val RMSE: 3.809214
[20/100] Train loss: 0.170015, Val composite loss: 0.164437, Val MAE: 2.918210, Val RMSE: 3.864554
[21/100] Train loss: 0.169209, Val composite loss: 0.160998, Val MAE: 2.863272, Val RMSE: 3.786704
[22/100] Train loss: 0.168739, Val composite loss: 0.163169, Val MAE: 2.919217, Val RMSE: 3.814182
[23/100] Train loss: 0.168653, Val composite loss: 0.162212, Val MAE: 2.888094, Val RMSE: 3.806162
[24/100] Train loss: 0.168497, Val composite loss: 0.160936, Val MAE: 2.863304, Val RMSE: 3.777550
[25/100] Train loss: 0.168293, Val composite loss: 0.162017, Val MAE: 2.884912, Val RMSE: 3.795799
[26/100] Train loss: 0.167843, Val composite loss: 0.161203, Val MAE: 2.867348, Val RMSE: 3.786939
[27/100] Train loss: 0.167902, Val composite loss: 0.161994, Val MAE: 2.891135, Val RMSE: 3.794576
[28/100] Train loss: 0.168097, Val composite loss: 0.161392, Val MAE: 2.878233, Val RMSE: 3.786150
[29/100] Train loss: 0.167634, Val composite loss: 0.161401, Val MAE: 2.871300, Val RMSE: 3.785158
[30/100] Train loss: 0.166735, Val composite loss: 0.160248, Val MAE: 2.844695, Val RMSE: 3.768659
[31/100] Train loss: 0.166714, Val composite loss: 0.161762, Val MAE: 2.862513, Val RMSE: 3.823355
[32/100] Train loss: 0.166801, Val composite loss: 0.160368, Val MAE: 2.850032, Val RMSE: 3.767636
[33/100] Train loss: 0.166426, Val composite loss: 0.160691, Val MAE: 2.856128, Val RMSE: 3.778946
[34/100] Train loss: 0.166559, Val composite loss: 0.160438, Val MAE: 2.846277, Val RMSE: 3.780984
[35/100] Train loss: 0.166173, Val composite loss: 0.160610, Val MAE: 2.856751, Val RMSE: 3.769455
[36/100] Train loss: 0.165478, Val composite loss: 0.159983, Val MAE: 2.844437, Val RMSE: 3.759182
[37/100] Train loss: 0.165415, Val composite loss: 0.160040, Val MAE: 2.837468, Val RMSE: 3.773061
[38/100] Train loss: 0.165352, Val composite loss: 0.160570, Val MAE: 2.850025, Val RMSE: 3.781157
[39/100] Train loss: 0.165194, Val composite loss: 0.159908, Val MAE: 2.835659, Val RMSE: 3.767553
[40/100] Train loss: 0.165082, Val composite loss: 0.161683, Val MAE: 2.881037, Val RMSE: 3.792539
[41/100] Train loss: 0.164914, Val composite loss: 0.161986, Val MAE: 2.872842, Val RMSE: 3.824068
[42/100] Train loss: 0.164763, Val composite loss: 0.160633, Val MAE: 2.842657, Val RMSE: 3.786858
[43/100] Train loss: 0.164613, Val composite loss: 0.160458, Val MAE: 2.844488, Val RMSE: 3.784012
[44/100] Train loss: 0.164478, Val composite loss: 0.160385, Val MAE: 2.845595, Val RMSE: 3.778257
[45/100] Train loss: 0.163987, Val composite loss: 0.160829, Val MAE: 2.855152, Val RMSE: 3.788764
[46/100] Train loss: 0.163819, Val composite loss: 0.160149, Val MAE: 2.849342, Val RMSE: 3.762570
[47/100] Train loss: 0.163613, Val composite loss: 0.160127, Val MAE: 2.842285, Val RMSE: 3.769906
[48/100] Train loss: 0.163674, Val composite loss: 0.160221, Val MAE: 2.844594, Val RMSE: 3.778315
[49/100] Train loss: 0.163294, Val composite loss: 0.161256, Val MAE: 2.869234, Val RMSE: 3.786742
[50/100] Train loss: 0.162958, Val composite loss: 0.160447, Val MAE: 2.854057, Val RMSE: 3.772759
Selected epoch: 39
Test MAE: 3.034370
Test RMSE: 4.056547

**------ Seed 4/15 ------**
[1/100] Train loss: 0.219055, Val composite loss: 0.181928, Val MAE: 3.264802, Val RMSE: 4.224813
[2/100] Train loss: 0.188262, Val composite loss: 0.171614, Val MAE: 3.055933, Val RMSE: 4.059740
[3/100] Train loss: 0.181831, Val composite loss: 0.168917, Val MAE: 3.011057, Val RMSE: 3.958574
[4/100] Train loss: 0.179189, Val composite loss: 0.166149, Val MAE: 2.958941, Val RMSE: 3.903102
[5/100] Train loss: 0.177059, Val composite loss: 0.166064, Val MAE: 2.965744, Val RMSE: 3.908693
[6/100] Train loss: 0.175202, Val composite loss: 0.164384, Val MAE: 2.924840, Val RMSE: 3.868269
[7/100] Train loss: 0.175036, Val composite loss: 0.166534, Val MAE: 2.980360, Val RMSE: 3.881788
[8/100] Train loss: 0.174025, Val composite loss: 0.164161, Val MAE: 2.916753, Val RMSE: 3.862069
[9/100] Train loss: 0.173139, Val composite loss: 0.166801, Val MAE: 2.963610, Val RMSE: 3.928507
[10/100] Train loss: 0.172875, Val composite loss: 0.162960, Val MAE: 2.894991, Val RMSE: 3.834935
[11/100] Train loss: 0.172301, Val composite loss: 0.164791, Val MAE: 2.944018, Val RMSE: 3.867224
[12/100] Train loss: 0.171620, Val composite loss: 0.163094, Val MAE: 2.912357, Val RMSE: 3.818551
[13/100] Train loss: 0.171899, Val composite loss: 0.162101, Val MAE: 2.880980, Val RMSE: 3.805974
[14/100] Train loss: 0.171058, Val composite loss: 0.162603, Val MAE: 2.902361, Val RMSE: 3.799822
[15/100] Train loss: 0.170485, Val composite loss: 0.165555, Val MAE: 2.962369, Val RMSE: 3.857028
[16/100] Train loss: 0.170388, Val composite loss: 0.162476, Val MAE: 2.893574, Val RMSE: 3.811642
[17/100] Train loss: 0.170384, Val composite loss: 0.162347, Val MAE: 2.877984, Val RMSE: 3.827832
[18/100] Train loss: 0.170106, Val composite loss: 0.163322, Val MAE: 2.898853, Val RMSE: 3.849861
[19/100] Train loss: 0.169064, Val composite loss: 0.162333, Val MAE: 2.884768, Val RMSE: 3.806152
[20/100] Train loss: 0.168891, Val composite loss: 0.161501, Val MAE: 2.871966, Val RMSE: 3.798281
[21/100] Train loss: 0.168427, Val composite loss: 0.161634, Val MAE: 2.876604, Val RMSE: 3.801751
[22/100] Train loss: 0.168447, Val composite loss: 0.161393, Val MAE: 2.856776, Val RMSE: 3.809371
[23/100] Train loss: 0.167995, Val composite loss: 0.162578, Val MAE: 2.888590, Val RMSE: 3.843410
[24/100] Train loss: 0.167890, Val composite loss: 0.162474, Val MAE: 2.896307, Val RMSE: 3.803061
[25/100] Train loss: 0.167740, Val composite loss: 0.160980, Val MAE: 2.863246, Val RMSE: 3.790241
[26/100] Train loss: 0.167460, Val composite loss: 0.160400, Val MAE: 2.847787, Val RMSE: 3.772562
[27/100] Train loss: 0.167170, Val composite loss: 0.163447, Val MAE: 2.904119, Val RMSE: 3.836011
[28/100] Train loss: 0.167169, Val composite loss: 0.160828, Val MAE: 2.855688, Val RMSE: 3.785577
[29/100] Train loss: 0.167085, Val composite loss: 0.160665, Val MAE: 2.854470, Val RMSE: 3.782140
[30/100] Train loss: 0.166886, Val composite loss: 0.163280, Val MAE: 2.908110, Val RMSE: 3.821300
[31/100] Train loss: 0.166618, Val composite loss: 0.161127, Val MAE: 2.862439, Val RMSE: 3.790380
[32/100] Train loss: 0.165916, Val composite loss: 0.160234, Val MAE: 2.844406, Val RMSE: 3.769414
[33/100] Train loss: 0.165672, Val composite loss: 0.161035, Val MAE: 2.865398, Val RMSE: 3.772001
[34/100] Train loss: 0.165617, Val composite loss: 0.160456, Val MAE: 2.846055, Val RMSE: 3.784466
[35/100] Train loss: 0.165589, Val composite loss: 0.160636, Val MAE: 2.859631, Val RMSE: 3.770603
